"device_id","device_name","group","critical","function","pico_rede_mbps","temperatura_c"
1,SRV-WEB-01,Servidor,yes,HTTP+Disk+CPU,950,72
2,SRV-DB-01,Servidor,no,MySQL+Disk+RAM,680,64
3,SRV-APP-01,Servidor,yes,API+CPU+Memória,1024,85
4,PC-Joao,Computador,no,Navegador+Office+Rede,120,49
5,PC-Maria,Computador,yes,IDE+Compilação+Rede,300,55
6,Router-CORE-01,Roteador,yes,Routing+BGP+Firewall,700,58
7,Router-EDGE-01,Roteador,no,NAT+DHCP+QoS,550,51
8,Phone-Android-01,Celular,no,App+Camera+Sensor,90,40
9,Phone-iOS-01,Celular,no,App+Bluetooth+GPS,85,41
10,SRV-BKP-01,Servidor,no,Backup+Disk+Net,220,60
11,PC-Seguranca,Computador,yes,Antivírus+Monitoramento+Logs,180,52
12,Router-WiFi-Home,Roteador,no,WiFi+NAT+Logs,320,49
13,Phone-Android-02,Celular,yes,VPN+App+Sync,100,45
14,SRV-FIREWALL,Servidor,yes,Firewall+IDS+IPS,880,78
15,PC-Design,Computador,no,Photoshop+GPU+Net,260,54
